epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,595.96,1.51037,2.44511,0.47805,1.60433,2.23733,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197558,0.00197558,0.00197558
39,611.363,1.49894,2.17229,0.45071,1.67084,2.1367,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197492,0.00197492,0.00197492
40,626.647,1.56843,2.33438,0.47063,2.02621,2.29382,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197426,0.00197426,0.00197426
41,642.096,1.79123,2.58074,0.47495,2.10378,2.54267,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.0019736,0.0019736,0.0019736
42,657.545,1.50775,2.22885,0.44257,1.37696,2.15502,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197294,0.00197294,0.00197294
43,672.713,1.29019,1.97153,0.40906,1.13511,1.87626,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197228,0.00197228,0.00197228
44,688.387,1.42198,2.03091,0.41795,1.1626,2.12259,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197162,0.00197162,0.00197162
45,704.184,1.58656,2.09071,0.45017,1.19699,2.21606,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197096,0.00197096,0.00197096
46,720.209,1.45078,2.24469,0.40914,1.06333,2.09797,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.0019703,0.0019703,0.0019703
47,736.137,1.35775,2.08242,0.35675,1.03296,2.04833,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196964,0.00196964,0.00196964
48,751.938,1.48117,2.02384,0.38858,1.00145,2.23406,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196898,0.00196898,0.00196898
49,767.805,1.22807,2.00812,0.3736,1.02318,2.02206,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196832,0.00196832,0.00196832
50,783.867,1.37488,2.02856,0.3233,0.95997,2.18689,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196766,0.00196766,0.00196766
51,799.711,1.39654,1.97311,0.39074,0.97199,2.1886,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.001967,0.001967,0.001967
52,815.441,1.18004,2.12546,0.38353,0.92307,2.08583,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196634,0.00196634,0.00196634
53,831.075,1.17448,2.14757,0.38096,0.87379,2.00731,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196568,0.00196568,0.00196568
54,846.565,1.63397,2.19559,0.36911,1.09305,2.32799,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196502,0.00196502,0.00196502
55,861.904,1.44605,1.88177,0.37922,0.91582,2.24959,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196436,0.00196436,0.00196436
56,877.399,1.29898,1.82424,0.33267,0.84048,2.10969,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.0019637,0.0019637,0.0019637
57,892.794,1.45314,1.78405,0.33114,0.89763,2.22889,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196304,0.00196304,0.00196304
58,910.044,1.46416,1.8138,0.33172,0.83883,2.17771,0.89153,0.875,0.92553,0.39118,0.96839,0.625,0.6372,0.26988,1.75204,2.98448,0.28003,1.67743,2.52165,0.00196238,0.00196238,0.00196238
59,926.951,1.40251,2.26876,0.34833,0.92985,2.12664,0.89153,0.875,0.92553,0.39118,0.96839,0.625,0.6372,0.26988,1.75204,2.98448,0.28003,1.67743,2.52165,0.00196172,0.00196172,0.00196172
60,946.32,1.22743,2.06956,0.33546,0.91257,2.00096,0.89153,0.875,0.92553,0.39118,0.96839,0.625,0.6372,0.26988,1.75204,2.98448,0.28003,1.67743,2.52165,0.00196106,0.00196106,0.00196106
61,967.786,1.21193,1.72282,0.33328,0.84861,1.97949,0.89153,0.875,0.92553,0.39118,0.96839,0.625,0.6372,0.26988,1.75204,2.98448,0.28003,1.67743,2.52165,0.0019604,0.0019604,0.0019604
62,990.118,1.18915,2.40057,0.33451,0.91082,1.99196,0.97885,0.75,0.83816,0.2866,0.81535,0.625,0.56688,0.25179,2.36046,2.83951,0.22353,1.51676,3.69674,0.00195974,0.00195974,0.00195974
63,1009.84,1.41132,2.26536,0.32131,1.06271,2.18384,0.97885,0.75,0.83816,0.2866,0.81535,0.625,0.56688,0.25179,2.36046,2.83951,0.22353,1.51676,3.69674,0.00195908,0.00195908,0.00195908
64,1030.86,1.65342,1.88276,0.2968,0.96132,2.40261,0.97885,0.75,0.83816,0.2866,0.81535,0.625,0.56688,0.25179,2.36046,2.83951,0.22353,1.51676,3.69674,0.00195842,0.00195842,0.00195842
65,1051.69,1.41807,1.88584,0.2822,0.9655,2.12968,0.97885,0.75,0.83816,0.2866,0.81535,0.625,0.56688,0.25179,2.36046,2.83951,0.22353,1.51676,3.69674,0.00195776,0.00195776,0.00195776
66,1069.58,1.41989,2.13121,0.36791,1.03737,2.06579,0.98862,0.75,0.78741,0.36053,0.98862,0.75,0.80188,0.29326,1.90863,2.81092,0.1976,1.21927,2.73137,0.0019571,0.0019571,0.0019571
67,1086.48,1.10967,1.68518,0.26614,0.84001,1.81715,0.98862,0.75,0.78741,0.36053,0.98862,0.75,0.80188,0.29326,1.90863,2.81092,0.1976,1.21927,2.73137,0.00195644,0.00195644,0.00195644
68,1103.23,1.42587,2.1322,0.30082,0.85004,2.22918,0.98862,0.75,0.78741,0.36053,0.98862,0.75,0.80188,0.29326,1.90863,2.81092,0.1976,1.21927,2.73137,0.00195578,0.00195578,0.00195578
69,1120.14,1.47559,2.07542,0.34365,0.95214,2.13087,0.98862,0.75,0.78741,0.36053,0.98862,0.75,0.80188,0.29326,1.90863,2.81092,0.1976,1.21927,2.73137,0.00195512,0.00195512,0.00195512
70,1137.07,1.13247,2.22244,0.26877,0.78984,1.91634,0.97791,0.75,0.76968,0.39585,0.65051,0.5,0.5375,0.25261,1.51747,3.02318,0.21,0.93189,2.19557,0.00195446,0.00195446,0.00195446
71,1153.94,1.29937,1.95527,0.33155,0.85344,2.06506,0.97791,0.75,0.76968,0.39585,0.65051,0.5,0.5375,0.25261,1.51747,3.02318,0.21,0.93189,2.19557,0.0019538,0.0019538,0.0019538
72,1170.6,1.58581,2.15372,0.31825,0.94954,2.17294,0.97791,0.75,0.76968,0.39585,0.65051,0.5,0.5375,0.25261,1.51747,3.02318,0.21,0.93189,2.19557,0.00195314,0.00195314,0.00195314
73,1187.81,1.46682,1.78694,0.29309,0.83413,2.3594,0.97791,0.75,0.76968,0.39585,0.65051,0.5,0.5375,0.25261,1.51747,3.02318,0.21,0.93189,2.19557,0.00195248,0.00195248,0.00195248
74,1204.82,1.43416,1.74201,0.30526,0.85451,2.20755,1,0.61178,0.77,0.37118,1,0.61178,0.71335,0.32478,1.5942,2.82448,0.23755,1.19224,2.21212,0.00195182,0.00195182,0.00195182
75,1221.22,1.36751,2.28548,0.31307,0.8844,2.04285,1,0.61178,0.77,0.37118,1,0.61178,0.71335,0.32478,1.5942,2.82448,0.23755,1.19224,2.21212,0.00195116,0.00195116,0.00195116
76,1237.16,1.32555,1.73458,0.26923,0.75651,2.07387,1,0.61178,0.77,0.37118,1,0.61178,0.71335,0.32478,1.5942,2.82448,0.23755,1.19224,2.21212,0.0019505,0.0019505,0.0019505
77,1252.55,1.30264,1.73175,0.24443,0.74859,2.07077,1,0.61178,0.77,0.37118,1,0.61178,0.71335,0.32478,1.5942,2.82448,0.23755,1.19224,2.21212,0.00194984,0.00194984,0.00194984
78,1268.22,1.4105,1.91742,0.23762,0.87759,2.21029,0.72732,0.375,0.44329,0.10959,0.97486,0.5,0.56701,0.22345,2.60128,2.92735,0.26233,1.5511,3.73468,0.00194918,0.00194918,0.00194918
79,1283.63,1.54309,1.71231,0.22239,0.81829,2.18829,0.72732,0.375,0.44329,0.10959,0.97486,0.5,0.56701,0.22345,2.60128,2.92735,0.26233,1.5511,3.73468,0.00194852,0.00194852,0.00194852
80,1299.35,1.29103,1.73114,0.29338,0.79336,1.88622,0.72732,0.375,0.44329,0.10959,0.97486,0.5,0.56701,0.22345,2.60128,2.92735,0.26233,1.5511,3.73468,0.00194786,0.00194786,0.00194786
81,1314.59,1.34344,2.4311,0.30004,1.06901,2.07089,0.72732,0.375,0.44329,0.10959,0.97486,0.5,0.56701,0.22345,2.60128,2.92735,0.26233,1.5511,3.73468,0.0019472,0.0019472,0.0019472
82,1330.01,1.24458,1.85685,0.2436,0.81549,1.95727,0.98432,0.625,0.72292,0.20964,0.98432,0.625,0.71258,0.34612,2.24456,2.7335,0.21292,1.51057,3.16743,0.00194654,0.00194654,0.00194654
83,1345.62,1.03231,1.9479,0.30395,0.77689,1.83108,0.98432,0.625,0.72292,0.20964,0.98432,0.625,0.71258,0.34612,2.24456,2.7335,0.21292,1.51057,3.16743,0.00194588,0.00194588,0.00194588
84,1361.12,1.08374,1.76599,0.2337,0.69461,1.87475,0.98432,0.625,0.72292,0.20964,0.98432,0.625,0.71258,0.34612,2.24456,2.7335,0.21292,1.51057,3.16743,0.00194522,0.00194522,0.00194522
85,1376.39,1.21779,1.8957,0.25462,0.83004,1.86201,0.98432,0.625,0.72292,0.20964,0.98432,0.625,0.71258,0.34612,2.24456,2.7335,0.21292,1.51057,3.16743,0.00194456,0.00194456,0.00194456
86,1391.72,1.0938,1.91657,0.24508,0.71455,1.8953,0.98259,0.625,0.767,0.36533,1,0.74353,0.77435,0.36459,1.62932,2.4006,0.25404,1.05771,2.17145,0.0019439,0.0019439,0.0019439
87,1407.21,1.31036,1.95259,0.22362,0.79408,2.1504,0.98259,0.625,0.767,0.36533,1,0.74353,0.77435,0.36459,1.62932,2.4006,0.25404,1.05771,2.17145,0.00194324,0.00194324,0.00194324
