epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,319.621,0.82331,2.56502,0.57998,0.6223,1.37883,0.71606,0.75,0.68831,0.50131,0.54205,0.5,0.44957,0.09938,1.01703,3.78592,0.55416,1.00316,1.65401,0.0010892,0.0010892,0.0010892
48,326.114,0.84064,2.37313,0.56908,0.5954,1.4125,0.71606,0.75,0.68831,0.50131,0.54205,0.5,0.44957,0.09938,1.01703,3.78592,0.55416,1.00316,1.65401,0.0010694,0.0010694,0.0010694
49,332.787,0.71692,2.4845,0.58261,0.60135,1.3264,0.71606,0.75,0.68831,0.50131,0.54205,0.5,0.44957,0.09938,1.01703,3.78592,0.55416,1.00316,1.65401,0.0010496,0.0010496,0.0010496
50,339.841,0.97005,2.47225,0.58568,0.65457,1.61356,0.84785,0.75,0.67357,0.44632,0.81172,0.625,0.65039,0.16032,1.05397,3.5876,0.53174,0.88529,1.73023,0.0010298,0.0010298,0.0010298
51,346.555,0.75906,2.43365,0.56869,0.53008,1.45696,0.84785,0.75,0.67357,0.44632,0.81172,0.625,0.65039,0.16032,1.05397,3.5876,0.53174,0.88529,1.73023,0.00101,0.00101,0.00101
52,353.02,0.71336,2.37555,0.55135,0.5256,1.46311,0.84785,0.75,0.67357,0.44632,0.81172,0.625,0.65039,0.16032,1.05397,3.5876,0.53174,0.88529,1.73023,0.0009902,0.0009902,0.0009902
53,360.135,0.80333,2.35389,0.56145,0.54278,1.43995,0.84785,0.75,0.67357,0.44632,0.81172,0.625,0.65039,0.16032,1.05397,3.5876,0.53174,0.88529,1.73023,0.0009704,0.0009704,0.0009704
54,367.535,0.8526,2.39781,0.57935,0.54295,1.40051,0.84736,0.75,0.72248,0.40432,0.84736,0.75,0.70929,0.15944,1.51312,3.34896,0.55533,0.79146,2.353,0.0009506,0.0009506,0.0009506
55,374.199,0.7895,2.43636,0.57569,0.49963,1.35952,0.84736,0.75,0.72248,0.40432,0.84736,0.75,0.70929,0.15944,1.51312,3.34896,0.55533,0.79146,2.353,0.0009308,0.0009308,0.0009308
56,380.612,0.78825,2.36419,0.5604,0.50374,1.44457,0.84736,0.75,0.72248,0.40432,0.84736,0.75,0.70929,0.15944,1.51312,3.34896,0.55533,0.79146,2.353,0.000911,0.000911,0.000911
